id,Numero_1,Numero_2,Numero_3,Numero_4,Numero_5,Numero_6
1,2,3,4,5,6,7
2,2,3,4,5,6,8
3,2,3,4,5,6,9
4,2,3,4,5,6,10
5,2,3,4,5,7,8
6,2,3,4,5,7,9
7,2,3,4,5,7,10
8,2,3,4,5,8,9
9,2,3,4,5,8,10
10,2,3,4,5,9,10
11,2,3,4,6,7,8
12,2,3,4,6,7,9
13,2,3,4,6,7,10
14,2,3,4,6,8,9
15,2,3,4,6,8,10
16,2,3,4,6,9,10
17,2,3,4,7,8,9
18,2,3,4,7,8,10
19,2,3,4,7,9,10
20,2,3,4,8,9,10
21,2,3,5,6,7,8
22,2,3,5,6,7,9
23,2,3,5,6,7,10
24,2,3,5,6,8,9
25,2,3,5,6,8,10
26,2,3,5,6,9,10
27,2,3,5,7,8,9
28,2,3,5,7,8,10
29,2,3,5,7,9,10
30,2,3,5,8,9,10
31,2,3,6,7,8,9
32,2,3,6,7,8,10
33,2,3,6,7,9,10
34,2,3,6,8,9,10
35,2,3,7,8,9,10
36,2,4,5,6,7,8
37,2,4,5,6,7,9
38,2,4,5,6,7,10
39,2,4,5,6,8,9
40,2,4,5,6,8,10
41,2,4,5,6,9,10
42,2,4,5,7,8,9
43,2,4,5,7,8,10
44,2,4,5,7,9,10
45,2,4,5,8,9,10
46,2,4,6,7,8,9
47,2,4,6,7,8,10
48,2,4,6,7,9,10
49,2,4,6,8,9,10
50,2,4,7,8,9,10
51,2,5,6,7,8,9
52,2,5,6,7,8,10
53,2,5,6,7,9,10
54,2,5,6,8,9,10
55,2,5,7,8,9,10
56,2,6,7,8,9,10
57,3,4,5,6,7,8
58,3,4,5,6,7,9
59,3,4,5,6,7,10
60,3,4,5,6,8,9
61,3,4,5,6,8,10
62,3,4,5,6,9,10
63,3,4,5,7,8,9
64,3,4,5,7,8,10
65,3,4,5,7,9,10
66,3,4,5,8,9,10
67,3,4,6,7,8,9
68,3,4,6,7,8,10
69,3,4,6,7,9,10
70,3,4,6,8,9,10
71,3,4,7,8,9,10
72,3,5,6,7,8,9
73,3,5,6,7,8,10
74,3,5,6,7,9,10
75,3,5,6,8,9,10
76,3,5,7,8,9,10
77,3,6,7,8,9,10
78,4,5,6,7,8,9
79,4,5,6,7,8,10
80,4,5,6,7,9,10
81,4,5,6,8,9,10
82,4,5,7,8,9,10
83,4,6,7,8,9,10
84,5,6,7,8,9,10
